"zip","city","state","lat","long","count","spending"
"87539","La Madera","new mexico",36.422525,-106.06145,6,20708.16
"87540","Lamy","new mexico",35.434943,-105.91873,118,742722.46
"87543","Llano","new mexico",36.129822,-105.66493,8,400.52
"87544","Los Alamos","new mexico",35.86849,-106.29536,472,4376672.34
"87548","Medanales","new mexico",36.17634,-106.18489,11,66246.97
"87549","Ojo Caliente","new mexico",36.362617,-106.02523,21,187373.07
"87551","Los Ojos","new mexico",36.700526,-106.63695,107,876498.28
"87552","Pecos","new mexico",35.622261,-105.6422,133,3225735.53
"87553","Penasco","new mexico",36.191998,-105.71543,34,340205.14
"87554","Petaca","new mexico",36.465416,-106.578513,1,1740
"87556","Questa","new mexico",36.735033,-105.58602,404,4358204.73
"87557","Ranchos De Taos","new mexico",36.377149,-105.67963,265,4932781.99
"87558","Red River","new mexico",36.705987,-105.3955,26,810069.05
"87560","Ribera","new mexico",35.249513,-105.57658,37,9873171.18
"87562","Rowe","new mexico",35.498227,-105.67671,18,26706.3
"87564","San Cristobal","new mexico",36.610705,-105.64442,3,58860
"87565","San Jose","new mexico",35.454443,-105.50337,10,88248.39
"87566","San Juan Pueblo","new mexico",36.074403,-106.07952,90,474831.51
"87567","Santa Cruz","new mexico",35.994909,-106.03282,378,403908.26
"87571","Taos","new mexico",36.414942,-105.5808,2738,16605010.7
"87574","Tesuque","new mexico",35.787442,-105.915713,87,1689105.02
"87575","Tierra Amarilla","new mexico",36.64863,-106.54091,91,2598134.14
"87577","Tres Piedras","new mexico",36.631809,-105.9267,8,3227.2
"87578","Truchas","new mexico",36.036721,-105.78702,19,78901.74
"87579","Vadito","new mexico",36.160484,-105.56045,50,922055.34
"87582","Velarde","new mexico",36.14773,-105.98866,11,28559.54
"87583","Villanueva","new mexico",35.276415,-105.33759,22,26657.57
"87592","Santa Fe","new mexico",35.521181,-105.981847,6876,5659454.2
"87594","Santa Fe","new mexico",35.521181,-105.981847,146,818163.02
"87701","Las Vegas","new mexico",35.594103,-105.08142,8414,42547777.21
"87710","Angel Fire","new mexico",36.363506,-105.24877,616,3993741.09
"87711","Anton Chico","new mexico",35.203048,-105.15426,7,72278.7
